code,latest_date,latest_close,trade_days_60,avg_amount_20,avg_amount_60,avg_turnover_20,avg_amplitude_20,volatility_20,max_drawdown_20,zero_volume_days_60,is_st,universe_pass,universe_score
000547,2025-12-31,33.01,60,11855938318.786,5431983950.584334,31.946575000000003,0.0850361910499706,0.0560618323566867,-0.08495255309534566,0,False,True,13.053132583242862
000592,2025-12-31,15.4,60,6671635483.9595,4298114709.509999,25.495,0.09553011994665224,0.059875431473476244,-0.16015625,0,False,True,11.905626813961192
000632,2025-12-31,5.65,60,698687715.626,528886315.52183336,22.726999999999997,0.08466322189394823,0.06343080247314277,-0.28406169665809766,0,False,True,10.66906960670808
000572,2025-12-31,8.16,60,2528687706.1135,2542716650.167,16.733000000000004,0.08356930646121978,0.05494616135510706,-0.18481518481518477,0,False,True,10.228028773756346
000070,2025-12-31,11.74,60,1830672669.189,1223220648.6488333,15.703000000000003,0.06757819075888097,0.058616583743469876,-0.24579124579124578,0,False,True,9.915907007676903
000566,2025-12-31,7.15,60,1448779057.3349998,1081624651.4075,15.372285,0.07052157732734081,0.056886362419035025,-0.22314049586776863,0,False,True,9.793934193773238
000530,2025-12-31,7.32,60,763103097.1614999,522389474.6260001,16.776180000000004,0.060156816438920804,0.04270711431432932,-0.1648351648351648,0,False,True,9.771951443981221
000078,2025-12-31,3.46,60,1559500049.664,668121024.9181666,13.4305,0.07191940345805813,0.052250286466278634,-0.34593572778827975,0,False,True,9.537731544837111
000510,2025-12-31,11.58,60,904271972.1865,568282246.9403332,14.262500000000003,0.07361318361915453,0.05705819972974257,-0.14697406340057628,0,False,True,9.470009464326887
000546,2025-12-31,6.38,60,628875245.1804999,401453238.2473334,13.226000000000003,0.0653492823060331,0.050324187314399936,-0.1810012836970475,0,False,True,9.175173182005178
000505,2025-12-31,8.51,60,600843610.5519998,360083690.04533327,11.479,0.068987934044099,0.05842070953178303,-0.17531718569780852,0,False,True,8.896139783915494
000657,2025-12-31,27.71,60,2750738016.7065,2322723384.1705003,7.072500000000001,0.0565959877283738,0.03938889337281874,-0.1078557630392788,0,False,True,8.760426131548222
000536,2025-12-31,4.88,60,1350184734.1690001,1011790762.0276666,8.6935,0.047007422018270094,0.03823140625308975,-0.21521035598705507,0,False,True,8.731981838544598
000417,2025-12-31,8.1,60,634098186.608,507477040.82116663,10.101499999999998,0.06006115511507085,0.03344047788526504,-0.10832383124287337,0,False,True,8.717277320090183
000407,2025-12-31,5.01,60,449443687.311,360832478.99899995,10.360499999999998,0.052086926757965335,0.04075599187393608,-0.11089108910891077,0,False,True,8.606579721763481
000639,2025-12-31,3.31,60,388577265.76100004,218923257.0315,10.248,0.058419706917724204,0.042797053210121457,-0.1542553191489361,0,False,True,8.552053858275206
000533,2025-12-31,8.33,60,556347640.9614999,571652118.9894999,9.435500000000001,0.04300651785640986,0.03234687624240677,-0.08259911894273131,0,False,True,8.530324068590733
000063,2025-12-31,37.84,60,5712217799.427501,8236233927.877166,3.6510000000000007,0.029249760256176562,0.027294330780635485,-0.16658900279589928,0,False,True,8.449712104218941
